2023-11-29 05:21:56 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:56 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:56 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /test.txt 14\n'
2023-11-29 05:21:56 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:21:56 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:57 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'GET /test.txt\n'
2023-11-29 05:21:57 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK 14
2023-11-29 05:21:57 | INFO | root |  [async_helpers.py:52] | MainThread | --> Hello, world!

2023-11-29 05:21:57 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:57 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'GET /test.txt\n'
2023-11-29 05:21:57 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK 14
2023-11-29 05:21:57 | INFO | root |  [async_helpers.py:52] | MainThread | --> Hello, world!

2023-11-29 05:21:57 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /test2.txt 27\n'
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /test3.txt 19\n'
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'LIST /\n'
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK 3
test.txt r1
test2.txt r1
test3.txt r1
2023-11-29 05:21:58 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:59 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:21:59 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'LIST /\n'
2023-11-29 05:21:59 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK 3
test.txt r1
test2.txt r1
test3.txt r1
2023-11-29 05:21:59 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/LICENSE 1330\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/Makefile 91\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/README.md 735\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/TODO 204\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/kilo.c 40314\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/LICENSE 1330\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/Makefile 91\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/README.md 735\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/TODO 204\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/kilo.c 40314\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r2
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/LICENSE 1330\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/Makefile 91\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/README.md 818\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r2
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/TODO 204\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/kilo.c 40314\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r2
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/LICENSE 1330\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/Makefile 91\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/README.md 820\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r3
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/TODO 204\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/kilo.c 40314\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r2
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/LICENSE 1330\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/Makefile 91\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/README.md 828\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r4
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/TODO 204\n'
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r1
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
2023-11-29 05:22:00 | INFO | root |  [async_helpers.py:22] | MainThread | <-- b'PUT /kilo.0001/kilo.c 40314\n'
2023-11-29 05:22:01 | INFO | root |  [async_helpers.py:52] | MainThread | --> OK r2
2023-11-29 05:22:01 | INFO | root |  [async_helpers.py:52] | MainThread | --> READY
